,transactionID,senderID,receiverID,sender_state,receiver_state,date,amount,confusion_value,was_biased
0,0,405,938,NI,GE,2023-09-15,83618.12,TN,0
1,1,743,920,NY,GE,2023-10-02,3468.92,FP,1
2,2,95,397,TN,NI,2024-07-20,26754.43,TN,0
3,3,421,666,DE,IL,2022-05-26,28864.4,FP,0
4,4,455,436,AZ,NY,2024-04-11,11901.25,FN,0
5,5,979,948,IL,GE,2022-08-20,60797.55,TN,0
6,6,763,729,AZ,NI,2023-04-04,13623.09,TP,0
7,7,523,505,TN,AZ,2022-01-31,65911.75,TP,0
8,8,318,1,IL,IL,2022-01-11,31118.4,TN,1
9,9,15,118,IL,GE,2024-09-30,55858.58,TN,0
10,10,410,204,DE,AZ,2024-06-11,62129.45,FP,1
11,11,307,590,NI,GE,2023-05-22,6301.19,TP,0
12,12,95,842,DE,NY,2022-03-14,24513.83,TP,0
13,13,242,739,NI,NY,2023-06-12,46789.05,FN,0
14,14,667,952,IL,NI,2022-01-02,44191.99,FP,0
15,15,387,417,IL,DE,2022-11-27,36137.55,FP,0
16,16,635,776,GE,NI,2022-10-31,35647.04,FP,0
17,17,740,144,DE,TN,2022-07-30,88922.46,TP,0
18,18,573,760,NY,TN,2023-10-04,94447.51,FN,0
19,19,20,462,TN,GE,2024-01-15,38760.47,FN,0
20,20,651,133,GE,TN,2023-05-25,34375.96,TN,0
21,21,836,58,NY,IL,2024-03-20,25995.83,TP,0
22,22,10,760,DE,GE,2022-06-18,22718.16,TP,0
23,23,84,665,TN,AZ,2021-12-20,36499.49,TP,0
24,24,455,452,NY,IL,2022-01-13,49381.63,FN,0
25,25,223,435,DE,GE,2022-01-18,16547.25,TN,0
26,26,885,140,NY,NY,2024-03-19,11524.4,FP,0
27,27,66,69,NY,NI,2024-05-25,22528.8,TN,1
28,28,963,510,AZ,TN,2022-05-05,69101.56,FN,0
29,29,197,909,GE,NI,2022-04-14,3005.14,FN,0
30,30,988,538,DE,NY,2023-09-16,30608.6,TN,0
31,31,505,909,TN,NI,2024-06-26,69239.33,FP,0
32,32,636,278,DE,IL,2024-05-30,43674.57,TP,0
33,33,415,634,NY,NY,2024-06-18,31390.51,FP,0
34,34,329,861,GE,TN,2022-04-11,87651.86,FP,0
35,35,506,59,GE,AZ,2024-06-24,29955.66,TP,0
36,36,610,419,DE,IL,2023-03-28,15789.32,FP,0
37,37,268,380,DE,IL,2023-04-26,81964.63,TN,0
38,38,934,778,IL,NI,2022-05-09,85122.0,TN,0
39,39,813,642,IL,DE,2023-07-09,59155.53,TN,0
40,40,531,544,IL,NY,2022-02-11,2380.3,FP,1
41,41,30,398,NY,GE,2023-01-21,28039.89,FN,0
42,42,871,139,NY,DE,2024-04-14,31280.69,FN,0
43,43,512,250,IL,IL,2022-04-12,82545.05,TP,0
44,44,234,796,IL,TN,2021-10-11,72197.3,FP,0
45,45,28,713,AZ,AZ,2021-11-05,6908.83,FP,0
46,46,237,578,TN,GE,2022-07-24,11423.5,FN,0
47,47,234,421,IL,TN,2023-03-15,39068.14,FP,0
48,48,251,319,NI,NY,2024-06-02,54730.21,TP,0
49,49,541,88,NY,AZ,2024-10-07,7634.9,TN,0
50,50,239,825,DE,NY,2024-01-18,19891.62,FP,1
